sign,unicode
niŋ2,𒃻
nik₂,𒃻
nik2,𒃻
nim₅,𒃻
nim5,𒃻
nin₆,𒃻
nin6,𒃻
ninda,𒃻
nindan,𒃻
ninni₃,𒃻
ninni3,𒃻
niq₂,𒃻
niq2,𒃻
niqiₓ,𒃻
nita₄,𒃻
nita4,𒃻
qar₃,𒃻
qar3,𒃻
qara₃,𒃻
qara3,𒃻
sa₁₅,𒃻
sa15,𒃻
ša₂,𒃻
sza2,𒃻
šikin,𒃻
szikin,𒃻
šu₇,𒃻
szu7,𒃻
gapi,𒃻𒂺
nisikiₓ,𒄑𒃻𒌢
argab,𒃻𒅁
arkab,𒃻𒅁
irkab,𒃻𒅁
gideštaₓ,𒃻𒑛𒋡
gidesztaₓ,𒃻𒑛𒋡
kibsur,𒃻𒆸
kibšur,𒃻𒆸
kibszur,𒃻𒆸
gug₃,𒃻𒈖
gug3,𒃻𒈖
gugina,𒃻𒈖
balla₂,𒃻𒊕𒅍𒂡𒊩
balla2,𒃻𒊕𒅍𒂡𒊩
balla,𒃻𒊕𒅍𒂡𒍑
kadra₂,𒃻𒊮
kadra2,𒃻𒊮
kadra,𒃻𒊮𒀀
kadri,𒃻𒊮𒀀
kadru,𒃻𒊮𒀀
kadra₃,𒃻𒊯
kadra3,𒃻𒊯
kadri₃,𒃻𒊯
kadri3,𒃻𒊯
kadru₃,𒃻𒊯
kadru3,𒃻𒊯
uttuku,𒃻𒋃
utugₓ,𒃻𒋃
utuqₓ,𒃻𒋃
uṭuku,𒃻𒋃
"ut,uku",𒃻𒋃
immal₃,𒃻𒋗𒂂
immal3,𒃻𒋗𒂂
gidešta,𒃻𒑚𒋡
gideszta,𒃻𒑚𒋡
gar₃,𒃼
gar3,𒃼
gara₃,𒃼
gara3,𒃼
ŋar₃,𒃼
ŋar3,𒃼
kar₃,𒃼
kar3,𒃼
qar,𒃼
qer₅,𒃼
qer5,𒃼
gašan,𒃽
gaszan,𒃽
ugun₂,𒃽
ugun2,𒃽
ugunu₂,𒃽
ugunu2,𒃽
geštin,𒃾
gesztin,𒃾
geštin@d,𒃾
gesztin@d,𒃾
geština,𒃾
gesztina,𒃾
ŋeštin,𒃾
ŋesztin,𒃾
ŋeština,𒃾
ŋesztina,𒃾
/mutin/,𒃾
adar₃,𒃿
adar3,𒃿
ildag₄,𒃿
ildag4,𒃿
ešša₃,𒄀
eszsza3,𒄀
ge,𒄀
gen₆,𒄀
gen6,𒄀
gi,𒄀
gin₆,𒄀
gin6,𒄀
gitag,𒄀
ke₂,𒄀
ke2,𒄀
ki₂,𒄀
ki2,𒄀
qan₂,𒄀
qan2,𒄀
qe₃,𒄀
qe3,𒄀
qi₃,𒄀
qi3,𒄀
seg₁₇,𒄀
seg17,𒄀
si₂₂,𒄀
si22,𒄀
sig₁₇,𒄀
sig17,𒄀
sissiₓ,𒄀
tar₅,𒄀
tar5,𒄀
taru₅,𒄀
taru5,𒄀
kilim₃,𒄀𒆕
kilim3,𒄀𒆕
ama₃,𒄀𒇻
ama3,𒄀𒇻
šutumₓ,𒈪𒈾𒀊𒌋𒄞
szutumₓ,𒈪𒈾𒀊𒌋𒄞
šutum,𒄀𒈾𒀊𒌋𒄞
szutum,𒄀𒈾𒀊𒌋𒄞
šutum₂,𒄀𒈾𒀊𒌋𒄞
szutum2,𒄀𒈾𒀊𒌋𒄞
šudug,𒄀𒉻
szudug,𒄀𒉻
esir₄,𒄃
esir4,𒄃
ge₁₆,𒄃
ge16,𒄃
gel,𒄃
gig₃,𒄃
gig3,𒄃
gi₁₆,𒄃
gi16,𒄃
gib,𒄃
gil,𒄃
gili,𒄃
gilibₓ,𒄃
gilim,𒄃
gillim,𒄃
kil₂,𒄃
kil2,𒄃
kilim₂,𒄃
kilim2,𒄃
qil₂,𒄃
qil2,𒄃
qili₂,𒄃
qili2,𒄃
unu₁₀,𒄃
unu10,𒄃
ga₈,𒄄
ga8,𒄄
gagri,𒄄
ge₄,𒄄
ge4,𒄄
gi₄,𒄄
gi4,𒄄
ki₈,𒄄
ki8,𒄄
qe₄,𒄄
qe4,𒄄
qi₄,𒄄
qi4,𒄄
kilₓ,𒄅
esir₅,𒄆
esir5,𒄆
gigi,𒄆
gedim,𒄇
gidim,𒄇
kitim,𒄇
ge₁₇,𒈪𒉭
ge17,𒈪𒉭
gi₁₇,𒈪𒉭
gi17,𒈪𒉭
gib₃,𒈪𒉭
gib3,𒈪𒉭
gig,𒈪𒉭
kiŋ,𒈪𒉭
kik,𒈪𒉭
qiq,𒈪𒉭
simₓ,𒅢
gir₂,𒄈
gir2,𒄈
giri₂,𒄈
giri2,𒄈
ŋir₂,𒄈
ŋir2,𒄈
ŋiri₂,𒄈
ŋiri2,𒄈
irₓ,𒈀𒇲
mer₃,𒄈
mer3,𒄈
meri₃,𒄈
meri3,𒄈
miriₓ,𒄊
patru,𒄈
ukur,𒄈
ad₂,𒄉
ad2,𒄉
adda₄,𒄉
adda4,𒄉
addu₃,𒄉
addu3,𒄉
at₂,𒄉
at2,𒄉
aṭ₂,𒄉
"at,2",𒄉
kiša₂,𒄉
kisza2,𒄉
kišeg₂,𒄉
kiszeg2,𒄉
kiši₁₇,𒄉
kiszi17,𒄉
kišig₂,𒄉
kiszig2,𒄉
kišik₂,𒄉
kiszik2,𒄉
tab₂,𒄉
tab2,𒄉
ul₄,𒄉
ul4,𒄉
anše₂,𒄊
ansze2,𒄊
anšu₂,𒄊
anszu2,𒄊
er₉,𒄊
er9,𒄊
ger₃,𒄊
ger3,𒄊
gir₃,𒄊
gir3,𒄊
giri₃,𒄊
giri3,𒄊
giru₃,𒄊
giru3,𒄊
ŋir₃,𒄊
ŋir3,𒄊
ŋiri₃,𒄊
ŋiri3,𒄊
huš₂,𒄊
husz2,𒄊
imeriₓ,𒄊
ir₉,𒄊
ir9,𒄊
kir₁₀,𒄊
kir10,𒄊
kiri₅,𒄊
kiri5,𒄊
merₓ,𒄊
qir₇,𒄊
qir7,𒄊
sakkan,𒄊
sumugga,𒄊
sumukan,𒄊
sumuqan,𒄊
šakan₂,𒄊
szakan2,𒄊
šakkan₂,𒄊
szakkan2,𒄊
wir,𒄊
šaggin,𒄊𒀴
szaggin,𒄊𒀴
šaggina,𒄊𒀴
szaggina,𒄊𒀴
šagina,𒄊𒀴
szagina,𒄊𒀴
šakan₆,𒄊𒀴
szakan6,𒄊𒀴
šakkana,𒄊𒀴
szakkana,𒄊𒀴
kišer,𒄊𒁇
kiszer,𒄊𒁇
šer₁₁,𒄊𒁇
szer11,𒄊𒁇
sakkan₂,𒄊𒃢𒀀𒀭
sakkan2,𒄊𒃢𒀀𒀭
hubud,𒄊𒋗𒅅
irgi,𒄊𒍞
alim,𒄋
alima,𒄋
gir₁₆,𒄌
gir16,𒄌
giri₁₆,𒄌
giri16,𒄌
girid₂,𒄌
girid2,𒄌
ŋiri₁₆,𒄌
ŋiri16,𒄌
lulim,𒄎
lulima,𒄎
biz₂,𒄐
biz2,𒄐
gisal,𒄐
gišal,𒄐
giszal,𒄐
gizal,𒄐
ŋizzal,𒄐
ŋisal,𒄐
ŋizal,𒄐
mizal,𒄐
iṣu,𒄑
"is,u",𒄑
es,𒄑
eš₁₉,𒄑
esz19,𒄑
eṣ,𒄑
"es,",𒄑
ez,𒄑
geš,𒄑
gesz,𒄑
gez,𒄑
gis,𒄑
giš,𒄑
gisz,𒄑
giša,𒄑
gisza,𒄑
giṣ,𒄑
"gis,",𒄑
giz,𒄑
ŋeš,𒄑
ŋesz,𒄑
ŋiš,𒄑
ŋisz,𒄑
ŋizzalₓ,𒄑𒌆𒉿𒋔𒉣
is,𒄑
iš₆,𒄑
isz6,𒄑
iṣ,𒄑
"is,",𒄑
iz,𒄑
kis₂,𒄑
kis2,𒄑
miš₃,𒄑
misz3,𒄑
mu₉,𒄑
mu9,𒄑
nis₂,𒄑
nis2,𒄑
neš₂,𒄑
nesz2,𒄑
niš₂,𒄑
nisz2,𒄑
mišsun,𒄑𒁁
miszsun,𒄑𒁁
gira₂,𒄑𒁇
gira2,𒄑𒁇
geš-tin,𒄑𒁷
gesz-tin,𒄑𒁷
wi₅,𒄑𒁷
wi5,𒄑𒁷
gilgames,𒄑𒂆𒈦
gilgameš,𒄑𒂆𒈦
gilgamesz,𒄑𒂆𒈦
kaŋeškaraₓ,𒄑𒅗𒆓
kaŋeszkaraₓ,𒄑𒅗𒆓
gešbunₓ,𒄑𒆠𒁉
geszbunₓ,𒄑𒆠𒁉
ŋeštukul₂,𒄑𒆪
ŋesztukul2,𒄑𒆪
umma,𒄑𒆵
ummenₓ,𒄑𒆵
ummiₓ,𒄑𒆵
giriₓ,𒔼
ŋešgiriₓ,𒄑𒇽
ŋeszgiriₓ,𒄑𒇽
amra,𒄑𒈣𒊏
dimmušₓ,𒄑𒈪
dimmuszₓ,𒄑𒈪
gissu,𒄑𒈪
gizzu,𒄑𒈪
ŋissu,𒄑𒈪
luhumₓ,𒄑𒈪
luhummu,𒄑𒈪
ṣil₄,𒄑𒈪
"s,il4",𒄑𒈪
ubilla₂,𒄑𒈪
ubilla2,𒄑𒈪
bil₄,𒄑𒉈
bil4,𒄑𒉈
pil₄,𒄑𒉈
pil4,𒄑𒉈
gilgames₃,𒄑𒉈𒂵𒈩
gilgames3,𒄑𒉈𒂵𒈩
gilgameš₃,𒄑𒉈𒂵𒈩
gilgamesz3,𒄑𒉈𒂵𒈩
bil₃,𒄑𒉋
bil3,𒄑𒉋
gibilₓ,𒄑𒉋
pil₃,𒄑𒉋
pil3,𒄑𒉋
ubilla,𒄑𒉋
gilgameš₂,𒄑𒉋𒂵𒈨𒌋𒌋𒌋
gilgamesz2,𒄑𒉋𒂵𒈨𒌋𒌋𒌋
v+,𒄑𒉌
ŋeš-nu₁₁,𒄑𒉢
ŋesz-nu11,𒄑𒉢
gešdu₃,𒄑𒉿𒌆
geszdu3,𒄑𒉿𒌆
geštu₃,𒄑𒉿𒌆
gesztu3,𒄑𒉿𒌆
geštug₃,𒄑𒉿𒌆
gesztug3,𒄑𒉿𒌆
ŋeštu₃,𒄑𒉿𒌆
ŋesztu3,𒄑𒉿𒌆
ŋeštug₃,𒄑𒉿𒌆
ŋesztug3,𒄑𒉿𒌆
gišdu₃,𒄑𒉿𒌆
giszdu3,𒄑𒉿𒌆
gištu₃,𒄑𒉿𒌆
gisztu3,𒄑𒉿𒌆
gištug₃,𒄑𒉿𒌆
gisztug3,𒄑𒉿𒌆
ŋištu₃,𒄑𒉿𒌆
ŋisztu3,𒄑𒉿𒌆
ŋištug₃,𒄑𒉿𒌆
ŋisztug3,𒄑𒉿𒌆
gešbuₓ,𒄑𒊒
geszbuₓ,𒄑𒊒
gešpaₓ,𒄑𒊒
geszpaₓ,𒄑𒊒
gešpuₓ,𒄑𒊒
geszpuₓ,𒄑𒊒
ŋešbuₓ,𒄑𒊒
ŋeszbuₓ,𒄑𒊒
ŋešpaₓ,𒄑𒊒
ŋeszpaₓ,𒄑𒊒
ŋešpuₓ,𒄑𒊒
ŋeszpuₓ,𒄑𒊒
ummaₓ,𒌒𒈨
mišhaš,𒄑𒋻
miszhasz,𒄑𒋻
gešdu₂,𒄑𒌆𒉿
geszdu2,𒄑𒌆𒉿
geštu₂,𒄑𒌆𒉿
gesztu2,𒄑𒌆𒉿
geštug₂,𒄑𒌆𒉿
gesztug2,𒄑𒌆𒉿
ŋeštug₂,𒄑𒌆𒉿
ŋesztug2,𒄑𒌆𒉿
ŋeštu₂,𒄑𒌆𒉿
ŋesztu2,𒄑𒌆𒉿
gišdu₂,𒄑𒌆𒉿
giszdu2,𒄑𒌆𒉿
gištu₂,𒄑𒌆𒉿
gisztu2,𒄑𒌆𒉿
gištug₂,𒄑𒌆𒉿
gisztug2,𒄑𒌆𒉿
ŋištug₂,𒄑𒌆𒉿
ŋisztug2,𒄑𒌆𒉿
ŋištu₂,𒄑𒌆𒉿
ŋisztu2,𒄑𒌆𒉿
ŋizzal₂,𒋔𒋡
ŋizzal2,𒋔𒋡
ašlag₅,𒄑𒌆𒉿𒋼𒀀
aszlag5,𒄑𒌆𒉿𒋼𒀀
azalag₅,𒄑𒌆𒉿𒋼𒀀
azalag5,𒄑𒌆𒉿𒋼𒀀
azlag₅,𒄑𒌆𒉿𒋼𒀀
azlag5,𒄑𒌆𒉿𒋼𒀀
ašlag₃,𒄑𒌆𒉿𒋼𒀀𒁺
aszlag3,𒄑𒌆𒉿𒋼𒀀𒁺
azalag₃,𒄑𒌆𒉿𒋼𒀀𒁺
azalag3,𒄑𒌆𒉿𒋼𒀀𒁺
azlag₃,𒄑𒌆𒉿𒋼𒀀𒁺
azlag3,𒄑𒌆𒉿𒋼𒀀𒁺
ašlag₆,𒄑𒌆𒋼𒀀
aszlag6,𒄑𒌆𒋼𒀀
azalag₆,𒄑𒌆𒋼𒀀
azalag6,𒄑𒌆𒋼𒀀
azlag₆,𒄑𒌆𒋼𒀀
azlag6,𒄑𒌆𒋼𒀀
ašlag₄,𒄑𒌆𒋼𒀀𒁺
aszlag4,𒄑𒌆𒋼𒀀𒁺
azalag₄,𒄑𒌆𒋼𒀀𒁺
azalag4,𒄑𒌆𒋼𒀀𒁺
azlag₄,𒄑𒌆𒋼𒀀𒁺
azlag4,𒄑𒌆𒋼𒀀𒁺
gešhar,𒄓
geszhar,𒄓
gišhar,𒄓
giszhar,𒄓
ziz₄,𒄓
ziz4,𒄓
ezinuₓ,𒌂
qišatₓ,𒄔
qiszatₓ,𒄔
šabuₓ,𒄔
szabuₓ,𒄔
terₓ,𒅼
tirₓ,𒉪
adamin₃,𒄒
adamin3,𒄒
adamen₃,𒄒
adamen3,𒄒
puhrum,𒄒
alal₃,𒄒
alal3,𒄒
an₂,𒄒
an2,𒄒
dara₅,𒄒
dara5,𒄒
dari₅,𒄒
dari5,𒄒
daru₅,𒄒
daru5,𒄒
dur₄,𒄒
dur4,𒄒
duru₄,𒄒
duru4,𒄒
durum₄,𒄒
durum4,𒄒
hul₃,𒄒
hul3,𒄒
kib,𒄒
kip,𒄒
gib₂,𒄒
gib2,𒄒
gip₂,𒄒
gip2,𒄒
liri₃,𒄒
liri3,𒄒
liru₃,𒄒
liru3,𒄒
lirum₃,𒄒
lirum3,𒄒
qeb,𒄒
qep,𒄒
qib,𒄒
qip,𒄒
šallur,𒄒
szallur,𒄒
šennur,𒄒
szennur,𒄒
tur₄,𒄒
tur4,𒄒
ṭur₄,𒄒
"t,ur4",𒄒
ul₃,𒄒
ul3,𒄒
ulul,𒄒
gur₁₇,𒄕
gur17,𒄕
guru₁₇,𒄕
guru17,𒄕
kana₇,𒄕
kana7,𒄕
gu,𒄖
gumₓ,𒄖
ku₈,𒄖
ku8,𒄖
qu₃,𒄖
qu3,𒄖
saₓ,𒍠
sah₄,𒄗
sah4,𒄗
sih₅,𒄗
sih5,𒄗
suh₃,𒄗
suh3,𒄗
zaₓ,𒍪
zih,𒄗
sishe,𒄗𒄗
kišādu,𒄘
kiszādu,𒄘
gu₂,𒄘
gu2,𒄘
gun₂,𒄘
gun2,𒄘
lil₆,𒄘
lil6,𒄘
qu₆,𒄘
qu6,𒄘
tek,𒄘
tik,𒄘
tiq,𒄘
idigna,𒄘𒃼
dallaₓ,𒄘𒃼
nida,𒄘𒉭
biltu,𒄘𒌦
gun,𒄘𒌦
dur,𒄙
tur₂,𒄙
tur2,𒄙
ṭur,𒄙
"t,ur",𒄙
ṭuru,𒄙
"t,uru",𒄙
duran,𒄙𒄒
turan,𒄙𒄒
ugurₓ,𒄚
munsub₃,𒄛
munsub3,𒄛
musub₃,𒄛
musub3,𒄛
sub₃,𒄛
sub3,𒄛
usan,𒄛
usian,𒄛
ušen,𒄛
uszen,𒄛
gueriši,𒄜
gueriszi,𒄜
munsub₄,𒄝
munsub4,𒄝
musub₄,𒄝
musub4,𒄝
usaₓ,𒄝
usan₂,𒄝
usan2,𒄝
alpu,𒄞
alap,𒄞
bahar,𒄞
dapar,𒄞
dapara,𒄞
dipar,𒄞
eštub,𒄞
esztub,𒄞
gadma,𒄞
gar₄,𒄞
gar4,𒄞
gara₄,𒄞
gara4,𒄞
gidim₇,𒄞
gidim7,𒄞
gu₄,𒄞
gu4,𒄞
gud,𒄞
gudma,𒄞
gudu,𒄞
gugarid,𒄞
har₂,𒄞
har2,𒄞
hara₂,𒄞
hara2,𒄞
kamuš,𒄞
kamusz,𒄞
ku₁₅,𒄞
ku15,𒄞
kušdim,𒄞
kuszdim,𒄞
kušgim,𒄞
kuszgim,𒄞
kušum₃,𒄞
kuszum3,𒄞
lagabₓ,𒄞
qadma,𒄞
qudmaₓ,𒄞
rušban,𒄞
ruszban,𒄞
rušpan,𒄞
ruszpan,𒄞
šušgim,𒄞
szuszgim,𒄞
zeb₃,𒄞
zeb3,𒄞
zib₃,𒄞
zib3,𒄞
lium,𒄞𒀭𒈾
ildag₂,𒄟
ildag2,𒄟
adar₂,𒄠
adar2,𒄠
am,𒄠
ama₂,𒄠
ama2,𒄠
ildag₃,𒄠
ildag3,𒄠
bišeba₃,𒄡
biszeba3,𒄡
bišebi₃,𒄡
biszebi3,𒄡
kaššeba₃,𒄡
kaszszeba3,𒄡
kaššebi₃,𒄡
kaszszebi3,𒄡
gul,𒄢
gulu,𒄢
isi₂,𒄢
isi2,𒄢
isim₂,𒄢
isim2,𒄢
isimu₂,𒄢
isimu2,𒄢
kul₂,𒄢
kul2,𒄢
qul₂,𒄢
qul2,𒄢
si₂₃,𒄢
si23,𒄢
sumun₂,𒄢
sumun2,𒄢
sumuna₂,𒄢
sumuna2,𒄢
sumunu₂,𒄢
sumunu2,𒄢
sun₂,𒄢
sun2,𒄢
suna₂,𒄢
suna2,𒄢
šun₃,𒄢
szun3,𒄢
gas₂,𒄣
gas2,𒄣
gaz₂,𒄣
gaz2,𒄣
gu₈,𒄣
gu8,𒄣
gum,𒄣
kas₆,𒄣
kas6,𒄣
ku₁₃,𒄣
ku13,𒄣
kum,𒄣
kun₃,𒄣
kun3,𒄣
nag₄,𒄣
nag4,𒄣
naga₄,𒄣
naga4,𒄣
naŋa₄,𒄣
naŋa4,𒄣
nuŋa,𒄣
qu,𒄣
qum,𒄣
ša₉,𒄣
sza9,𒄣
šaqu₃,𒄣
szaqu3,𒄣
gas,𒄤
gaṣ,𒄤
"gas,",𒄤
gaz,𒄤
gaza,𒄤
kas₃,𒄤
kas3,𒄤
kaš₆,𒄤
kasz6,𒄤
kaṣ₃,𒄤
"kas,3",𒄤
kaz,𒄤
kazba,𒄤
kumₓ,𒉺
naga₃,𒄤
naga3,𒄤
naŋa₃,𒄤
naŋa3,𒄤
gur,𒄥
gura,𒄥
guru,𒄥
kur₃,𒄥
kur3,𒄥
qur,𒄥
quru,𒄥
tari,𒄥
taru,𒄥
gur₇,𒄦
gur7,𒄦
guru₇,𒄦
guru7,𒄦
kara₆,𒄦
kara6,𒄦
kuru₁₃,𒄦
kuru13,𒄦
bur₇,𒄧
bur7,𒄧
buru₇,𒄧
buru7,𒄧
guru₂₀,𒄧
guru20,𒄧
gurumₓ,𒅆𒃻
gurun,𒄧
kurrunₓ,𒄧
kurun₆,𒄧
kurun6,𒄧
gireš₂,𒄨
giresz2,𒄨
giriš₂,𒄨
girisz2,𒄨
guruš,𒄨
gurusz,𒄨
ŋereš₂,𒄨
ŋeresz2,𒄨
ŋuruš,𒄨
ŋurusz,𒄨
murušₓ,𒄨
muruszₓ,𒄨
ʾa₄,𒄩
'a4,𒄩
a₇,𒄩
a7,𒄩
ayaₓ,𒌓
gir₁₄,𒄩
gir14,𒄩
ha,𒄩
kir₉,𒄩
kir9,𒄩
ku₆,𒄩
ku6,𒄩
kua,𒄩
peš₁₁,𒄩
pesz11,𒄩
kuar,𒄩𒀀
kuara,𒄩𒀀
sah₆,𒄩𒀀
sah6,𒄩𒀀
saha₆,𒄩𒀀
saha6,𒄩𒀀
zah₂,𒄩𒀀
zah2,𒄩𒀀
zaha₂,𒄩𒀀
zaha2,𒄩𒀀
dulluₓ,𒄩𒉄𒁍
enkuₓ,𒄩𒍠
bis₂,𒄫
bis2,𒄫
biš,𒄫
bisz,𒄫
buš₂,𒄫
busz2,𒄫
ger,𒄫
gir,𒄫
giri,𒄫
ŋir,𒄫
ŋiri,𒄫
ha₆,𒄫
ha6,𒄫
kar₄,𒄫
kar4,𒄫
ker,𒄫
kir,𒄫
kiri,𒄫
pes,𒄫
peš,𒄫
pesz,𒄫
pis,𒄫
piš,𒄫
pisz,𒄫
piša,𒄫
pisza,𒄫
pus,𒄫
puš₃,𒄫
pusz3,𒄫
qer,𒄫
qir,𒄫
qiri,𒄫
zubud,𒄪
zugud,𒄪
zenaₓ,𒕉
buluh,𒄬
bur₈,𒄬
bur8,𒄬
buru₈,𒄬
buru8,𒄬
buruh,𒄬
hal,𒄬
hala,𒄬
ʾi₃,𒄭
'i3,𒄭
da₁₀,𒄭
da10,𒄭
dab₃,𒄭
dab3,𒄭
de₈,𒄭
de8,𒄭
du₁₀,𒄭
du10,𒄭
dub₃,𒄭
dub3,𒄭
dug₃,𒄭
dug3,𒄭
dugu,𒄭
ha₄,𒄭
ha4,𒄭
he,𒄭
hi,𒄭
i₁₁,𒄭
i11,𒄭
kugu,𒄭
muₓ,𒅤
ta₈,𒄭
ta8,𒄭
te₂,𒄭
te2,𒄭
ṭa₃,𒄭
"t,a3",𒄭
ṭab₆,𒄭
"t,ab6",𒄭
ṭe₂,𒄭
"t,e2",𒄭
ṭi₂,𒄭
"t,i2",𒄭
ha₂,𒄭𒀀
ha2,𒄭𒀀
hiš₄,𒄭𒄊
hisz4,𒄭𒄊
huš,𒄭𒄊
husz,𒄭𒄊
huša,𒄭𒄊
husza,𒄭𒄊
hušuₓ,𒄭𒄊
huszuₓ,𒄭𒄊
ruš,𒄭𒄊
rusz,𒄭𒄊
kaz₈,𒄮
kaz8,𒄮
kazaza,𒄮
mul₃,𒄮
mul3,𒄮
muš₄,𒄮
musz4,𒄮
sur₃,𒄮
sur3,𒄮
uš₁₇,𒄮
usz17,𒄮
ušša,𒄮
uszsza,𒄮
zinanutu,𒄮
ziz₃,𒄮
ziz3,𒄮
ar₃,𒄯
ar3,𒄯
ara₃,𒄯
ara3,𒄯
endibdim,𒄯
ga₁₁,𒄯
ga11,𒄯
gadibdim,𒄯
gin₈,𒄯
gin8,𒄯
gu₁₃,𒄯
gu13,𒄯
gudibdim,𒄯
gur₁₄,𒄯
gur14,𒄯
har,𒄯
hara,𒄯
hir₂,𒄯
hir2,𒄯
hu₄,𒄯
hu4,𒄯
hur,𒄯
huru,𒄯
ir₅,𒄯
ir5,𒄯
kikken,𒄯
kikkin,𒄯
ken₂,𒄯
ken2,𒄯
kin₂,𒄯
kin2,𒄯
kinkin,𒄯
mar₆,𒄯
mar6,𒄯
mur,𒄯
muru,𒄯
murum,𒄯
sagbar,𒄯
saggar₂,𒄯
saggar2,𒄯
saŋŋar₂,𒄯
saŋŋar2,𒄯
ur₅,𒄯
ur5,𒄯
ura₅,𒄯
ura5,𒄯
uruₓ,𒌯
ur₅-ša₄,𒄯𒁺
ur5-sza4,𒄯𒁺
urša,𒄯𒁺
ursza,𒄯𒁺
ara₅,𒄯𒄯
ara5,𒄯𒄯
kikken₂,𒄯𒄯
kikken2,𒄯𒄯
kikkin₂,𒄯𒄯
kikkin2,𒄯𒄯
kinkin₂,𒄯𒄯
kinkin2,𒄯𒄯
ur₅-gu₇,𒄯𒅥
ur5-gu7,𒄯𒅥
urgu,𒄯𒅥
azubir,𒄯𒊕
azugna,𒄯𒊕
azukna,𒄯𒊕
du₁₅,𒄰
du15,𒄰
eriš₆,𒄰
erisz6,𒄰
gam₂,𒄰
gam2,𒄰
gama₂,𒄰
gama2,𒄰
hud₃,𒄰
hud3,𒄰
ka₁₃,𒄰
ka13,𒄰
kam,𒄰
kama,𒄰
qam₂,𒄰
qam2,𒄰
tu₇,𒄰
tu7,𒄰
udul₂,𒄰
udul2,𒄰
utul₂,𒄰
utul2,𒄰
as₆,𒄱
as6,𒄱
aš₈,𒄱
asz8,𒄱
šardiš,𒄱
szardisz,𒄱
šargeš,𒄱
szargesz,𒄱
umma₂,𒄱
umma2,𒄱
utulₓ,𒄱
sargad,𒄲
šargad,𒄲
szargad,𒄲
šargadu,𒄲
szargadu,𒄲
gukin₂,𒄳
gukin2,𒄳
aʾ₂,𒄴
a'2,𒄴
ah,𒄴
aha,𒄴
bi₉,𒄴
bi9,𒄴
duga₃,𒄴
duga3,𒄴
eʾ₂,𒄴
e'2,𒄴
eh,𒄴
girišₓ,𒄴
giriszₓ,𒄴
guduₓ,𒄴
iʾ₂,𒄴
i'2,𒄴
ih,𒄴
nu₁₃,𒄴
nu13,𒄴
numun₃,𒄴
numun3,𒄴
u₁₃,𒄴
u13,𒄴
uʾ₂,𒄴
u'2,𒄴
uh,𒄴
uhu,𒄴
uman,𒄴
umun₃,𒄴
umun3,𒄴
upluₓ,𒄴
kiši₁₃,𒄴𒆜
kiszi13,𒄴𒆜
gudₓ,𒋺
guda₂,𒄴𒈨
guda2,𒄴𒈨
guddaₓ,𒄴𒈨
gudu₄,𒄴𒈨
gudu4,𒄴𒈨
gudug,𒄴𒈨
šutug₂,𒄴𒈨
szutug2,𒄴𒈨
luhša,𒄴𒈨𒌋
luhsza,𒄴𒈨𒌋
luhšu,𒄴𒈨𒌋
luhszu,𒄴𒈨𒌋
ulu₂,𒄴𒈨𒌋
ulu2,𒄴𒈨𒌋
utul₁₂,𒄴𒈨𒌋
utul12,𒄴𒈨𒌋
ber,𒄵
bir,𒄵
biri,𒄵
dubur,𒄵
ellag₂,𒄵
ellag2,𒄵
ellaŋ₂,𒄵
ellaŋ2,𒄵
ellamₓ,𒄵
gereš,𒄵
geresz,𒄵
gireš,𒄵
giresz,𒄵
giriš,𒄵
girisz,𒄵
kalam₂,𒄵
kalam2,𒄵
pir₃,𒄵
pir3,𒄵
zanzana,𒄵
dubur₂,𒄶
dubur2,𒄶
šaru,𒄶
szaru,𒄶
šarʾu,𒄶
szar'u,𒄶
1(šarʾu),𒐬
1(szar'u),𒐬
ʾu₅,𒄷
'u5,𒄷
bag,𒄷
bah,𒄷
bak,𒄷
baq,𒄷
dalₓ,𒄷
hu,𒄷
muš₈,𒄷
musz8,𒄷
mušen,𒄷
muszen,𒄷
mušena,𒄷
muszena,𒄷
pa₇,𒄷
pa7,𒄷
pag,𒄷
pah₃,𒄷
pah3,𒄷
pak,𒄷
paq,𒄷
puq₂,𒄷
puq2,𒄷
talₓ,𒆔𒆔
u₁₁,𒄷
u11,𒄷
usan₅,𒄷
usan5,𒄷
mat₃,𒄷𒄭
mat3,𒄷𒄭
mu₁₂,𒄷𒄭
mu12,𒄷𒄭
mud,𒄷𒄭
mut,𒄷𒄭
muṭ,𒄷𒄭
"mut,",𒄷𒄭
muṭuₓ,𒄷𒄭
"mut,uₓ",𒄷𒄭
usanda,𒄷𒆕
usandu,𒄷𒆕
sa₄,𒄷𒈿
sa4,𒄷𒈿
ša₂₂,𒄷𒈿
sza22,𒄷𒈿
še₂₁,𒄷𒈿
sze21,𒄷𒈿
u₅,𒄷𒋛
u5,𒄷𒋛
ud₃,𒄷𒋛
ud3,𒄷𒋛
hub₂,𒄸
hub2,𒄸
hup₂,𒄸
hup2,𒄸
kup₃,𒄸
kup3,𒄸
tu₁₁,𒄸
tu11,𒄸
tukₓ,𒋺
tumₓ,𒔾
tun₂,𒄸
tun2,𒄸
rig₉,𒄸𒁺
rig9,𒄸𒁺
hub,𒄽
hup,𒄽
qup₂,𒄽
qup2,𒄽
tu₁₀,𒄽
tu10,𒄽
tahta,𒄽
tahtu,𒄽
tun,𒄽
bibra,𒄾
bibri,𒄾
guggal,𒇻𒄾
gukkal,𒇻𒄾
