sign,unicode
aszar2,𒀀𒌅𒃮𒇺
azalₓ,𒀀𒌅𒃮𒇺
asalₓ,𒍂
edamu,𒀀𒌉
uguₓ,𒌋𒊕
aškudₓ,𒀉𒍝𒈽
aszkudₓ,𒀉𒍝𒈽
aškiₓ,𒍤𒀀
aszkiₓ,𒍤𒀀
ginₓ,𒍤𒀀
gugₓ,𒍤𒆸
lamahušₓ,𒍤𒀀
lamahuszₓ,𒍤𒀀
mudₓ,𒍤𒀀
numunₓ,𒍤𒀀
suluhuₓ,𒀀𒍤
šubₓ,𒍤𒀀
szubₓ,𒍤𒀀
/šumun/,𒍤𒆸
/szumun/,𒍤𒆸
zukumₓ,𒀀𒍤
aya₂-aya₂,𒀁
aya2-aya2,𒀁
edur,𒀁
eduru,𒀁
agam,𒀂
sah₇,𒀄
sah7,𒀄
saha₇,𒀄
saha7,𒀄
zah₃,𒀄
zah3,𒀄
zaha₃,𒀄
zaha3,𒀄
er₆,𒀅
er6,𒀅
ir₆,𒀅
ir6,𒀅
isiš₃,𒀅
isisz3,𒀅
šeš₃,𒀅
szesz3,𒀅
šedu₃,𒀆
szedu3,𒀆
amuš,𒀇
amusz,𒀇
amuša,𒀇
amusza,𒀇
emuš,𒀇
emusz,𒀇
esag,𒀈
esaŋ,𒀈
a₂,𒀉
a2,𒀉
ah₅,𒀉
ah5,𒀉
ahi₂,𒀉
ahi2,𒀉
ed,𒀉
et,𒀉
eṭ,𒀉
"et,",𒀉
id,𒀉
idi₂,𒀉
idi2,𒀉
it,𒀉
iṭ,𒀉
"it,",𒀉
te₈,𒀉
te8,𒀉
ti₈,𒀉
ti8,𒀉
liri₅,𒀉𒀸
liri5,𒀉𒀸
liru₅,𒀉𒀸
liru5,𒀉𒀸
lirum₅,𒀉𒀸
lirum5,𒀉𒀸
arhuš₇,𒀉𒃣
arhusz7,𒀉𒃣
liri₄,𒀉𒆗
liri4,𒀉𒆗
liru₄,𒀉𒆗
liru4,𒀉𒆗
lirum₄,𒀉𒆗
lirum4,𒀉𒆗
usu,𒀉𒆗
uššuₓ,𒀉𒆗
uszszuₓ,𒀉𒆗
aškud₂,𒀉𒈹
aszkud2,𒀉𒈹
aškud,𒀉𒈽
aszkud,𒀉𒈽
azag₂,𒀉𒉺
azag2,𒀉𒉺
arhuš₆,𒀉𒊩
arhusz6,𒀉𒊩
arhuš₅,𒀉𒌉
arhusz5,𒀉𒌉
ašita,𒀉𒌋𒆤
aszita,𒀉𒌋𒆤
ašte,𒀉𒌋𒆤
aszte,𒀉𒌋𒆤
ehe,𒀉𒌓𒁺
ehi,𒀉𒌓𒁺
ʾ,𒀪
',𒀪
ʾa,𒀪
'a,𒀪
ʾe,𒀪
'e,𒀪
ʾi,𒀪
'i,𒀪
ʾu,𒀪
'u,𒀪
aʾ,𒀪
a',𒀪
ah₄,𒀪
ah4,𒀪
eʾ,𒀪
e',𒀪
eh₂,𒀪
eh2,𒀪
iʾ,𒀪
i',𒀪
ih₂,𒀪
ih2,𒀪
uʾ,𒀪
u',𒀪
uh₅,𒀪
uh5,𒀪
umun₄,𒀪
umun4,𒀪
ab,𒀊
aba,𒀊
abba,𒀊
agarinₓ,𒀊
ap,𒀊
ašₓ,𒀊
aszₓ,𒀊
eri₁₂,𒀊
eri12,𒀊
es₃,𒀊
es3,𒀊
esa₃,𒀊
esa3,𒀊
eš₃,𒀊
esz3,𒀊
eša₃,𒀊
esza3,𒀊
ešeₓ,𒀊
eszeₓ,𒀊
eṣ₃,𒀊
"es,3",𒀊
ez₃,𒀊
ez3,𒀊
giraba,𒀊
iri₁₂,𒀊
iri12,𒀊
is₃,𒀊
is3,𒀊
iš₇,𒀊
isz7,𒀊
iṣ₃,𒀊
"is,3",𒀊
iz₃,𒀊
iz3,𒀊
unu₅,𒀊
unu5,𒀊
girabaₓ,𒀊𒄫
essadu,𒀊𒄩𒍠𒃮𒄷
ešsadu,𒀊𒄩𒍠𒃮𒄷
eszsadu,𒀊𒄩𒍠𒃮𒄷
sugal₆,𒀊𒈹
sugal6,𒀊𒈹
zabala₆,𒀊𒈹
zabala6,𒀊𒈹
zabalam₆,𒀊𒈹
zabalam6,𒀊𒈹
absin₂,𒀊𒉆
absin2,𒀊𒉆
abba₂,𒀋
abba2,𒀋
agarin,𒀌
aŋarin,𒀌
erigal,𒀍
ešgal,𒀍
eszgal,𒀍
irigal,𒀍
unugi₂,𒀍
unugi2,𒀍
urugal,𒀍
agarin₂,𒀎
agarin2,𒀎
aŋarin₂,𒀎
aŋarin2,𒀎
nanše,𒀏
nansze,𒀏
našše,𒀏
naszsze,𒀏
nazi,𒀏
nigin₆,𒀏
nigin6,𒀏
niŋin₆,𒀏
niŋin6,𒀏
nina,𒀏
sirara,𒀏
siraran,𒀏
ešemen₄,𒀑
eszemen4,𒀑
ešemin₄,𒀑
eszemin4,𒀑
niginₓ,𒌓𒆤
unugi,𒀐
ze₄,𒀓
ze4,𒀓
zi₄,𒀓
zi4,𒀓
erimₓ,𒉺𒊷
gunₓ,𒀭𒄷𒈪𒅎
gunuₓ,𒋜
nuₓ,𒋖
siraraₓ,𒀔
unuₓ,𒋼𒈹
unugₓ,𒀔
urugalₓ,𒌽
urukₓ,𒀔
ab₄,𒀕
ab4,𒀕
aba₄,𒀕
aba4,𒀕
eri₁₁,𒀕
eri11,𒀕
erim₅,𒀕
erim5,𒀕
erin₅,𒀕
erin5,𒀕
gun₄,𒀕
gun4,𒀕
guna₄,𒀕
guna4,𒀕
gunu₄,𒀕
gunu4,𒀕
iri₁₁,𒀕
iri11,𒀕
irigal₂,𒀕
irigal2,𒀕
nu₇,𒀕
nu7,𒀕
sirara₅,𒀕
sirara5,𒀕
unu,𒀕
unug,𒀕
urugal₂,𒀕
urugal2,𒀕
uruk,𒀕
zabalaₓ,𒈹𒀕𒍝
ab₂,𒀖
ab2,𒀖
ap₂,𒀖
ap2,𒀖
le₈,𒀖
le8,𒀖
let,𒀖
li₈,𒀖
li8,𒀖
lid,𒀖
lit,𒀖
liti,𒀖
liṭ,𒀖
"lit,",𒀖
liṭi,𒀖
"lit,i",𒀖
rem₂,𒀖
rem2,𒀖
reme₂,𒀖
reme2,𒀖
rim₂,𒀖
rim2,𒀖
rimu₂,𒀖
rimu2,𒀖
munuₓ,𒊺𒉽𒉽
nagadₓ,𒀖𒆪
udul,𒀖𒆪
unu₃,𒀖𒆪
unu3,𒀖𒆪
unud,𒀖𒆪
utul,𒀖𒆪
unudₓ,𒀖𒆪
udul₁₀,𒀖𒇻
udul10,𒀖𒇻
utul₁₀,𒀖𒇻
utul10,𒀖𒇻
girₓ,𒌋𒂙
kirₓ,𒀛
libišₓ,𒀛
libiszₓ,𒀛
lipišₓ,𒀖𒊮
lipiszₓ,𒀖𒊮
šagₓ,𒌋𒆤
szagₓ,𒌋𒆤
ubₓ,𒌾
lilis,𒀗
liliz,𒀗
kir₆,𒀘
kir6,𒀘
qir₆,𒀘
qir6,𒀘
šem₅,𒀘
szem5,𒀘
meze,𒀙
šem₄,𒀙
szem4,𒀙
ub₆,𒀙
ub6,𒀙
gir₉,𒀚
gir9,𒀚
kir₂,𒀚
kir2,𒀚
kiri₉,𒀚
kiri9,𒀚
libiš,𒀚
libisz,𒀚
lipiš,𒀚
lipisz,𒀚
šem₃,𒀚
szem3,𒀚
ub₃,𒀚
ub3,𒀚
šem₆,𒀛
szem6,𒀛
ub₅,𒀛
ub5,𒀛
uba₅,𒀛
uba5,𒀛
ab₃,𒀜
ab3,𒀜
aba₃,𒀜
aba3,𒀜
ad,𒀜
ada,𒀜
ap₃,𒀜
ap3,𒀜
at,𒀜
aṭ,𒀜
"at,",𒀜
ad-kidₓ,𒀜𒂍
akkilₓ,𒀜𒆪
ad-kid,𒀜𒆤
akkil₂,𒀜𒆤
akkil2,𒀜𒆤
?,𒕄
a₅,𒀝
